skin_L skin_A skin_B eye_r eye_g eye_b eye_L eye_A eye_B hair_L hair_A hair_B hair_r1 hair_g1 hair_b1 hair_r2 hair_g2 hair_b2 hair_r3 hair_g3 hair_b3
111.086167 129.018218 104.081269 42 30 30 31.881579 130.907895 120.039474 127.207548 127.207548 126.130637 26 30 30 106 79 60 136 149 138 
132.324550 128.354526 107.406014 30 22 22 20.148148 130.425926 122.333333 126.234415 126.234415 128.309735 18 22 22 59 55 48 85 92 89 
114.541175 127.576663 108.445651 11 8 15 7.289474 131.368421 127.105263 126.032273 126.032273 127.870458 26 30 30 52 60 56 90 94 86 
121.984077 127.363493 105.574827 56 41 34 48.736842 129.210526 116.701754 128.468547 128.468547 131.236522 34 38 41 60 64 68 90 98 94 
136.264704 128.173425 104.895394 34 26 30 32.351852 130.425926 124.351852 127.632744 127.632744 127.215428 22 26 30 64 60 56 94 90 82 
115.058026 128.536833 104.838878 19 12 19 12.625000 131.361111 125.541667 128.079636 128.079636 128.086101 35 38 42 0 4 12 69 73 73 
115.810583 128.914025 105.459061 23 27 30 29.907407 130.240741 130.740741 127.994542 127.994542 129.335304 38 42 42 88 76 69 8 11 15 
119.415192 129.116167 108.906397 38 27 27 41.375000 130.916667 122.944444 128.456143 128.456143 127.079990 23 27 30 61 59 57 99 95 88 
123.908696 128.051877 107.919612 23 19 27 21.105263 133.328947 127.105263 129.836417 129.836417 129.500507 42 46 53 15 19 23 69 72 80 
143.847174 127.654695 105.057877 53 36 30 36.960526 130.736842 116.473684 128.227495 128.227495 127.757289 23 27 30 49 53 57 95 91 84 
131.567861 127.407768 106.070980 26 22 30 19.759259 131.740741 126.796296 128.438451 128.438451 126.539889 26 30 34 56 60 60 82 90 86 
133.945590 127.450862 106.791914 65 48 42 52.411765 129.901961 117.529412 130.693565 130.693565 127.473920 8 11 19 42 38 46 76 72 72 
125.434937 127.869705 108.087274 67 52 44 65.250000 130.483333 119.283333 129.450262 129.450262 127.327086 33 37 44 96 81 70 122 115 111 
107.280877 129.458095 110.811883 39 24 22 25.833333 131.472222 118.041667 128.538823 128.538823 130.161924 38 45 52 0 8 15 71 75 79 
129.446659 128.400933 106.612566 41 41 49 61.175000 131.762500 128.762500 129.159584 129.159584 133.265371 26 34 41 56 64 68 86 98 101 
148.592022 128.118120 106.416195 43 32 32 35.629630 131.296296 121.981481 129.269283 129.269283 130.295329 17 25 32 51 55 59 77 81 85 
129.974037 128.506410 107.366606 60 41 30 53.018519 128.629630 114.740741 128.393042 128.393042 128.734152 30 34 37 93 74 63 123 104 89 
119.577827 127.676653 108.565516 46 38 38 36.912500 130.175000 123.987500 128.590126 128.590126 127.492951 27 30 34 61 65 65 88 95 95 
127.895938 127.656306 108.682011 43 34 36 36.375000 131.125000 123.225000 129.142114 129.142114 127.999522 28 32 36 81 70 62 108 100 89 
112.569749 127.675109 109.623137 40 29 29 31.259259 130.888889 121.537037 129.427937 129.427937 131.079144 13 21 29 48 51 55 82 89 86 
129.625278 127.384379 106.382133 32 25 28 24.305556 131.611111 123.916667 128.068554 128.068554 128.230328 21 25 28 74 62 55 100 96 89 
107.166473 127.923601 110.106931 27 27 35 26.430556 131.569444 129.263889 128.183771 128.183771 129.578486 19 23 27 46 50 54 108 93 81 
97.929214 129.421297 111.887325 29 25 33 23.568627 132.862745 126.784314 128.311714 128.311714 127.045348 25 29 33 56 59 59 92 94 90 
100.867833 129.512878 111.028586 27 23 27 23.861111 131.402778 125.416667 128.177291 128.177291 129.203507 19 23 27 50 54 54 93 100 97 
99.841189 129.421297 112.144199 27 27 31 26.750000 130.777778 129.277778 128.291348 128.291348 131.003439 23 27 31 50 54 58 81 85 85 
121.152876 129.415428 105.128478 30 30 34 41.723684 130.263158 128.263158 129.170006 129.170006 130.866533 30 34 38 57 61 65 91 95 95 
105.473787 129.443551 111.544429 27 27 34 28.180556 131.916667 129.277778 127.922619 127.922619 118.732858 49 38 30 91 72 57 118 99 84 
101.610557 128.948686 108.928506 23 19 27 29.552632 131.828947 128.013158 129.341116 129.341116 131.319382 19 23 27 46 50 54 77 84 84 
100.610868 129.132302 112.996998 27 19 23 18.555556 131.314815 124.888889 128.221001 128.221001 129.441598 19 23 27 81 85 77 50 54 52 
116.662616 127.583419 109.258018 23 19 27 20.862745 132.509804 128.000000 129.248349 129.248349 130.065145 15 19 27 65 61 58 104 96 84 
136.905872 128.120509 105.547612 30 27 34 30.490196 131.705882 127.294118 129.020268 129.020268 130.817191 34 38 42 0 8 17 72 76 76 
97.253702 129.087025 107.261179 23 19 21 27.888889 130.013889 124.708333 128.060050 128.060050 126.498769 12 15 19 54 50 46 92 84 73 
110.795031 129.032671 110.157262 38 30 34 32.280702 131.543860 124.877193 128.559381 128.559381 130.744801 30 34 38 57 61 65 0 8 13 
86.781896 129.544356 111.649789 19 15 19 22.578947 130.381579 126.947368 127.474455 127.474455 127.426797 15 19 23 69 57 49 95 99 91 
112.373604 128.292634 107.074891 17 13 17 11.118421 130.960526 127.578947 127.748662 127.748662 128.000184 17 21 25 47 51 51 77 81 76 
130.901638 127.528731 104.257775 34 22 22 27.166667 132.388889 119.148148 128.880385 128.880385 129.133598 34 38 41 64 68 68 8 11 15 
119.364231 126.994750 105.766645 19 17 22 14.986842 131.407895 126.973684 127.319424 127.319424 129.229969 22 26 30 52 60 56 86 98 90 
96.863349 129.067898 109.451199 23 19 23 16.930556 130.083333 127.666667 128.037725 128.037725 126.552291 31 27 27 65 58 54 96 100 92 
99.044427 129.565920 111.783149 31 21 23 22.018519 132.277778 120.759259 128.794065 128.794065 127.849979 17 19 23 54 50 50 85 81 81 
137.404723 127.105658 106.488180 30 27 34 28.184211 132.131579 128.473684 129.399770 129.399770 129.702985 15 19 27 46 49 53 80 84 84 
104.616205 128.211048 108.841896 15 19 27 28.861111 130.111111 129.638889 126.430299 126.430299 127.931759 46 49 49 72 76 76 15 19 23 
107.130612 128.759612 108.671390 46 34 34 33.294118 130.039216 122.176471 127.930915 127.930915 130.081968 42 46 46 8 15 19 84 88 80 
106.325487 128.580910 108.281914 15 15 23 14.684211 132.263158 129.184211 127.775562 127.775562 128.890813 23 27 30 53 57 57 95 99 91 
119.374566 128.277009 108.002618 38 30 34 51.868421 132.092105 128.473684 128.417958 128.417958 129.878248 34 38 41 75 71 68 101 103 98 
126.279540 128.733129 107.401248 32 23 23 24.745098 131.745098 121.274510 128.908170 128.908170 129.277465 8 15 23 46 49 49 72 76 76 
143.196621 128.751308 107.724056 60 49 38 61.911765 126.911765 121.205882 127.694941 127.694941 126.253132 38 41 45 64 68 71 90 98 98 
109.353067 129.672987 108.428245 30 26 30 26.486842 131.578947 127.539474 128.288837 128.288837 129.654396 30 34 38 56 60 64 82 90 90 
137.913548 128.125208 108.723475 39 39 43 45.026316 129.986842 128.236842 128.335292 128.335292 133.019317 35 43 47 61 69 73 6 13 20 
148.720077 129.544422 109.170015 79 86 90 89.614035 127.947368 130.982456 128.499813 128.499813 127.147838 30 34 38 68 64 64 112 98 90 
126.332930 128.045284 108.655225 31 33 39 34.456140 130.526316 129.754386 129.117089 129.117089 130.794674 33 37 41 59 63 67 89 92 92 
101.478184 130.092514 113.273543 50 39 39 38.947368 130.828947 121.828947 128.051564 128.051564 127.725831 35 39 42 100 85 77 0 6 12 
101.089608 129.996783 111.702074 34 30 34 33.388889 131.296296 126.037037 127.841275 127.841275 126.309282 46 49 49 72 76 76 99 103 101 
168.305846 128.295131 110.968485 34 38 38 40.368421 128.065789 129.092105 126.705453 126.705453 133.556654 23 34 38 49 61 65 80 91 95 
124.079664 129.242354 107.489003 36 36 40 35.650000 131.200000 127.150000 129.611457 129.611457 132.954403 25 32 40 55 62 66 85 93 93 
151.024590 129.382870 106.677675 19 19 28 21.240741 132.129630 128.481481 128.820052 128.820052 132.413996 34 41 45 0 9 15 60 68 71 
142.374788 128.349886 110.422322 47 41 45 43.539683 130.714286 125.396825 128.870630 128.870630 128.924069 34 38 41 79 71 68 112 101 94 
