skin_L skin_A skin_B eye_r eye_g eye_b eye_L eye_A eye_B hair_L hair_A hair_B hair_r1 hair_g1 hair_b1 hair_r2 hair_g2 hair_b2 hair_r3 hair_g3 hair_b3
101.610557 128.948686 108.928506 38 38 42 82.775000 129.275000 127.200000 129.397185 129.397185 131.288852 19 23 27 46 50 54 77 81 81 
100.610868 129.132302 112.996998 27 19 23 19.771930 131.210526 124.210526 128.310666 128.310666 129.458004 19 23 27 46 50 54 81 85 85 
116.662616 127.583419 109.258018 15 15 23 35.962963 130.851852 127.018519 129.405585 129.405585 130.268808 15 19 27 65 61 58 96 92 88 
136.905872 128.120509 105.547612 34 30 34 33.740741 131.851852 126.240741 129.156958 129.156958 130.804498 34 38 42 0 8 17 61 65 67 
97.253702 129.087025 107.261179 38 35 35 109.930556 128.444444 123.833333 128.219911 128.219911 126.859153 12 15 19 54 50 46 88 81 73 
110.795031 129.032671 110.157262 38 32 34 50.583333 129.800000 124.416667 128.667414 128.667414 130.751511 30 34 38 57 61 65 0 8 13 
86.781896 129.544356 111.649789 19 15 23 93.475000 129.187500 130.462500 127.633762 127.633762 127.545602 15 19 23 69 57 49 95 84 78 
112.373604 128.292634 107.074891 13 9 17 48.175000 131.612500 128.750000 127.869811 127.869811 128.585410 17 21 25 47 51 51 74 77 76 
130.901638 127.528731 104.257775 49 34 34 32.259259 132.092593 118.722222 128.962546 128.962546 129.340440 34 38 41 64 68 68 8 11 15 
119.364231 126.994750 105.766645 19 17 22 20.737500 130.900000 126.975000 127.460471 127.460471 129.691069 22 26 30 52 60 56 81 90 86 
96.863349 129.067898 109.451199 23 19 23 17.328947 130.578947 127.434211 128.127903 128.127903 126.495534 31 27 27 65 58 54 96 92 86 
99.044427 129.565920 111.783149 31 19 19 41.403509 131.192982 121.175439 128.859515 128.859515 127.815122 17 19 23 54 50 50 81 77 77 
137.404723 127.105658 106.488180 30 30 42 36.825000 132.925000 129.975000 129.604841 129.604841 130.259910 15 19 27 46 49 53 80 84 84 
104.616205 128.211048 108.841896 15 19 25 66.815789 128.289474 125.894737 126.263050 126.263050 127.937517 46 49 49 118 122 114 72 76 76 
107.130612 128.759612 108.671390 46 34 34 38.925926 129.962963 119.333333 128.067104 128.067104 130.103028 42 46 46 8 15 19 76 74 72 
106.325487 128.580910 108.281914 19 17 23 27.850000 132.437500 129.612500 127.953089 127.953089 128.830230 23 27 30 53 57 57 82 84 84 
119.374566 128.277009 108.002618 41 34 34 31.750000 131.037500 123.512500 128.698529 128.698529 130.161828 34 38 41 75 71 68 2 9 15 
126.279540 128.733129 107.401248 42 30 30 40.203704 131.481481 121.611111 129.222751 129.222751 129.942600 8 15 23 46 49 49 72 76 76 
143.196621 128.751308 107.724056 77 71 62 66.611111 127.305556 120.166667 127.717750 127.717750 125.410024 38 41 45 64 68 71 90 98 98 
109.353067 129.672987 108.428245 30 26 30 27.825000 131.675000 125.787500 128.303950 128.303950 129.611379 30 34 38 56 60 64 81 86 90 
137.913548 128.125208 108.723475 45 41 47 72.937500 131.012500 126.112500 128.398820 128.398820 133.099145 35 43 47 61 69 73 6 13 20 
148.720077 129.544422 109.170015 62 64 68 82.433333 129.216667 130.950000 128.533942 128.533942 127.828496 30 34 38 68 64 64 98 90 90 
126.332930 128.045284 108.655225 30 30 35 51.300000 130.016667 126.883333 129.227876 129.227876 130.837224 33 37 41 59 63 67 89 92 92 
101.478184 130.092514 113.273543 54 42 42 42.787500 131.200000 121.537500 128.151919 128.151919 129.420823 35 39 42 66 70 70 0 6 12 
101.089608 129.996783 111.702074 38 34 38 47.789474 130.859649 124.631579 127.822118 127.822118 126.363767 46 49 49 72 76 76 99 103 103 
168.305846 128.295131 110.968485 38 38 38 45.950000 128.900000 129.362500 126.758633 126.758633 133.928318 23 34 38 49 61 65 80 91 95 
124.079664 129.242354 107.489003 36 32 36 38.031746 130.603175 126.460317 129.681442 129.681442 132.961276 25 32 40 55 62 66 81 89 93 
151.024590 129.382870 106.677675 26 22 28 26.350877 131.684211 125.684211 128.885677 128.885677 132.488438 34 41 45 0 9 15 60 68 71 
142.374788 128.349886 110.422322 49 43 45 56.181818 130.439394 124.984848 128.978243 128.978243 129.697568 34 38 41 71 68 68 105 112 116 
143.941622 127.788591 108.383716 91 87 80 105.511364 126.852273 125.852273 128.014490 128.014490 125.877465 58 55 51 84 80 76 22 18 25 
140.471491 127.980497 106.840903 59 44 44 55.297619 132.095238 121.404762 128.505347 128.505347 128.218391 30 33 37 70 67 63 102 100 92 
131.094368 128.118111 107.570685 37 37 44 48.037500 130.525000 129.337500 128.178350 128.178350 131.341671 26 33 37 59 63 63 85 89 89 
114.822820 128.949697 108.923287 92 78 70 108.428571 124.297619 117.857143 128.468667 128.468667 129.063155 44 48 52 0 11 20 74 78 78 
105.659389 127.821270 113.320523 32 32 36 50.127273 129.454545 127.427273 127.857071 127.857071 127.770815 36 40 40 6 9 15 81 74 66 
142.984235 126.547235 106.004668 52 45 45 48.407895 130.736842 122.868421 129.247152 129.247152 131.216172 41 45 49 11 15 22 71 75 79 
129.662004 127.265561 105.636512 52 48 48 60.119048 129.023810 124.250000 127.999832 127.999832 127.612796 37 41 41 74 70 67 103 96 92 
95.294306 128.728162 110.263907 36 36 39 56.409091 129.409091 127.750000 128.697662 128.697662 132.138191 24 32 36 54 58 62 88 92 92 
97.859275 129.330879 112.467651 38 34 38 58.075000 129.900000 122.462500 128.571020 128.571020 131.052342 27 30 34 57 61 61 88 91 91 
97.959568 129.595547 111.114445 42 31 25 49.052632 129.666667 120.140351 127.226515 127.226515 129.468050 39 42 42 66 70 70 110 116 106 
116.341496 126.740710 109.626099 48 45 45 64.630952 129.511905 126.059524 127.836829 127.836829 130.775195 34 41 45 63 71 71 89 97 97 
123.717719 126.859018 106.273584 29 31 37 35.113636 131.125000 130.159091 127.862076 127.862076 132.233969 27 35 39 58 66 66 85 93 93 
117.539932 128.632906 107.798764 33 33 41 41.714286 130.630952 129.785714 128.859173 128.859173 130.774053 37 41 44 0 11 18 67 70 70 
104.870215 131.598320 112.132710 44 40 44 42.016667 130.083333 126.500000 127.419433 127.419433 130.566156 44 52 56 94 86 82 17 25 29 
109.593166 128.717927 108.187534 29 29 33 39.633333 130.816667 128.250000 128.059517 128.059517 129.396733 29 33 36 59 63 63 90 94 94 
132.366362 127.303831 105.169337 63 48 45 60.940476 129.571429 119.428571 128.377454 128.377454 129.579635 4 11 19 41 45 45 67 71 71 
93.181292 129.189727 114.167486 38 34 38 57.633333 128.900000 126.683333 127.449670 127.449670 128.992154 34 38 38 67 69 65 97 95 95 
126.242667 127.871924 107.102159 51 46 50 71.321429 130.488095 126.404762 128.913570 128.913570 133.144413 28 35 42 57 64 68 83 90 94 
97.817783 128.563352 112.759921 38 30 30 46.775000 129.312500 123.325000 128.272487 128.272487 129.443276 26 30 34 57 60 60 91 89 87 
119.487954 128.968043 108.197974 67 55 52 71.539683 129.269841 121.142857 126.895932 126.895932 127.033358 41 44 44 81 78 70 107 103 96 
95.797897 129.442489 111.901863 37 31 31 40.539474 129.539474 123.763158 126.387180 126.387180 124.157088 47 43 35 82 75 63 12 10 8 
121.683411 128.635350 106.460254 34 37 41 36.859649 129.894737 129.578947 128.685094 128.685094 130.940673 45 48 48 4 11 19 71 74 74 
116.139392 127.146189 108.088851 41 41 41 53.642857 128.559524 127.297619 127.644363 127.644363 132.192600 30 38 41 60 68 68 4 11 15 
119.520237 127.881481 110.240676 44 37 37 73.777778 130.190476 120.603175 125.104742 125.104742 116.673800 100 81 59 129 111 89 55 44 33 
122.426520 127.622202 105.949969 59 48 44 54.523810 129.460317 120.857143 128.574383 128.574383 133.173374 37 44 48 7 15 22 63 70 74 
153.528185 126.507072 109.073361 47 43 50 70.157895 132.302632 127.486842 127.184463 127.184463 123.986001 47 50 54 75 79 79 126 119 104 
128.517125 129.141574 108.558031 45 38 45 46.784091 132.795455 125.193182 130.175276 130.175276 131.979688 22 30 38 56 60 64 82 86 90 
121.573519 128.405019 109.215447 47 43 43 69.087500 129.287500 125.112500 128.688738 128.688738 132.694348 24 32 36 51 58 62 81 88 88 
